year,sex,n,n_miss,age_mean,age_sd,cod
2008,F,4257,0,42.37867042518205,17.685214711120505,firearm
2008,M,27387,4,42.10112113355001,19.41879837473218,firearm
2009,All,31407,8,42.838434345042835,19.175784888216086,firearm
2009,F,4426,2,42.89873417721519,17.549005271169925,firearm
2009,M,26981,6,42.82854494902688,19.429871559418377,firearm
2010,All,31736,7,42.92259447193419,19.14494693298454,firearm
2010,F,4321,0,43.40985882897478,17.611964183776358,firearm
2010,M,27415,7,42.84577495621716,19.37474598398728,firearm
2011,All,32388,5,43.249606274897324,19.340869123943598,firearm
2011,F,4613,1,43.15676496097138,17.7373036501964,firearm
2011,M,27775,4,43.26502466601851,19.59473026177234,firearm
2012,All,33639,3,43.43438577714354,19.337726836048677,firearm
2012,F,4730,1,43.21230704165786,17.744549720468708,firearm
2012,M,28909,2,43.470716435465455,19.586076788894683,firearm
2013,All,33681,11,43.91627561627562,19.418159686947888,firearm
2013,F,4844,1,43.98141647739005,17.627381020575868,firearm
2013,M,28837,10,43.9053318069865,19.703314120583798,firearm
2014,All,33642,4,44.229769903085796,19.689057365584414,firearm
2014,F,4883,1,43.874641540352314,17.937080044676488,firearm
2014,M,28759,3,44.29006120461817,19.970903543209936,firearm
2015,All,36294,4,43.49297327087352,19.545501762603315,firearm
2015,F,5223,0,43.699406471376605,18.043598355757897,firearm
2015,M,31071,4,43.45826761515434,19.786872727227937,firearm
2016,All,38694,4,42.95890410958904,19.49199264011253,firearm
2016,F,5664,0,42.789194915254235,18.00897562396842,firearm
2016,M,33030,4,42.988009447102286,19.735249382334377,firearm
0,All,731124,238,41.995662798302334,21.432551089953996,car_accident
0,F,221329,33,44.01605090015183,23.49178032652343,car_accident
0,M,509795,205,41.11828332581094,20.41174580796162,car_accident
1999,All,42401,30,40.63475018290812,22.03688381199302,car_accident
1999,F,13849,3,42.91340459338437,23.899741188955595,car_accident
1999,M,28552,27,39.528694127957934,20.984799077193475,car_accident
2e3,All,43354,26,40.36798375184638,21.783810988753217,car_accident
2e3,F,13903,0,42.881752139825934,23.873807451708473,car_accident
2e3,M,29451,26,39.180254885301615,20.617196340445485,car_accident
2001,All,43788,33,40.44943435035996,21.646437173305,car_accident
2001,F,13724,6,43.19281236331827,23.712112336036917,car_accident
2001,M,30064,27,39.19652428671306,20.513095477472746,car_accident
2002,All,45380,35,40.48916087771529,21.55342083694432,car_accident
2002,F,14316,2,43.081947743467936,23.55689262906362,car_accident
2002,M,31064,33,39.29315845444878,20.453500187437633,car_accident
2003,All,44757,16,40.787487986410675,21.581038049708688,car_accident
2003,F,14102,2,43.405744680851065,23.740436436569468,car_accident
2003,M,30655,14,39.58265069677883,20.398933297373805,car_accident
2004,All,44933,26,40.64802814705948,21.463505381532983,car_accident
2004,F,14096,6,42.86628814762243,23.605900979772017,car_accident
2004,M,30837,20,39.63380601615991,20.329118432276534,car_accident
2005,All,45343,6,40.94079890597084,21.229613013056415,car_accident
2005,F,13712,1,43.10859893516155,23.326752165855684,car_accident
2005,M,31631,5,40.00098020615949,20.181222415145932,car_accident
2006,All,45316,14,40.78623460332877,21.034759120943132,car_accident
2006,F,13683,2,43.00343542138732,23.26963240557498,car_accident
2006,M,31633,12,39.82695044432497,19.91457648330827,car_accident
2007,All,43945,9,41.075951383831026,21.091574736646987,car_accident
2007,F,12843,0,42.95226971891303,23.30857135528996,car_accident
2007,M,31102,9,40.300935901971506,20.053855463774667,car_accident
2008,All,39790,3,41.895141629175356,20.99018121663303,car_accident
2008,F,11499,0,44.09983476824072,23.098485683034898,car_accident
2008,M,28291,3,40.99893947963801,20.00103045404961,car_accident
2009,All,36216,9,42.47523959455354,21.214623585837067,car_accident
2009,F,10786,3,44.33283872762682,23.42840248141383,car_accident
2009,M,25430,6,41.687382001258655,20.151414521656218,car_accident
2010,All,35332,3,43.31164199382943,21.45157406931141,car_accident
2010,F,10609,3,45.285215915519515,23.548656024328512,car_accident
2010,M,24723,0,42.464992112607696,20.42839318364087,car_accident
2011,All,35303,4,43.60154678602793,21.4007603189112,car_accident
2011,F,10356,0,45.32213209733488,23.60565565661312,car_accident
